name,address,phone,type,email
"мини-центр ""ТИМАЗ""","ул. Декабристов, 32","87017131817, 87273981061",дошкольный мини-центр,sunny.madina27@mail.ru
"мини-центр ""Baldyrgan shak""","ул. Нурсая, 10","87073190872, 87073190872",дошкольный мини-центр,taugul_93@mail.ru
"Детский центр ""Казына""","мкр. Жас канат, 212/5","87019919601, 87009000730",детский сад,kazyna212@mail.ru
"Мини-центр ""Немере и компания""","ул. Каракалпакская, 12","87477427420, 87752047537",дошкольный мини-центр,anna.umtildaeva@mail.ru
Детский сад «Апельсин»,"ул. Карагандинская, 30","87772647339, 87772214387",детский сад,grafiv@gmail.com
"Детский сад ""ZauSam Commerce""","ул. Энгельса, 14","87071288851, 87272230104",детский сад,elvira_tokaeva@mail.ru
"Детский сад ""Алтын бала & K""","ул. Чехова, 37","87074267142, 87074267142",детский сад,guzelka_2790@mail.ru
"Детский сад ""ABVGDESHKA""","ул. Домбровского, 1","87074700705, 87472854439",детский сад,abvgdeshka.kz@mail.ru
"мини-центр ""Аистёнок""","ул. Елгина, 44","87017663867, 87272955881",дошкольный мини-центр,aistenok.kz@gmail.com
"Мини-центр ""Небесная радуга -1""","ул. Карельская, 72","87776154415, 87776154415",дошкольный мини-центр,Olesyasyprunova@gmail.com
"Детский сад ""Аиша""","ул. Саялы, 14","87473002512, 87272514252",детский сад,akhat54@mail.ru
"Детский сад ""Мимишка""","ул. Димитрова, 10","87757526846, 87272570137",детский сад,mimishka_18@mail.ru
"Детский Сад ""Родничок 6""","ул. Торгын, 11","87753196247, 87272450379",детский сад,fatya_hishanlo@mail.ru
"Детский сад при ЧУО ""Гимназия имени Марзии Турлыхановой""","пр. Сейфуллина, 68А","87073045588, 87272232509",детский сад,mektep.bolazhak@mail.ru
"Мини-центр ""Лучик солнца""","ул. Майское утро, 28а","87052339904, 87052339904",дошкольный мини-центр,nursaule-tohtarbaeva@mail.ru
"Детский сад ""АР ДА Компани""","ул. Карагандинская, 9","87018236628, 87018236628",детский сад,arda.kompani@mail.ru
"Детский сад ""Голубой парус""","ул. Гете, 396А","87073673899, 87272233904",детский сад,goluboiparus@mail.ru
"Детский сад ""Амина 2018""","ул. Бартольда, 52","87026675861, 87272786233",детский сад,zina_7676@bk.ru
"Детский сад ""Радость детства""","ул. Майлина, 166","87772380044, 87272512244",детский сад,ildana1504@mail.ru
"Мини-центр ""Табыс Ж.С.""","ул. Ладожская, 31","87472433703, 87272906091",дошкольный мини-центр,bulat_19-94@mail.ru
"Детский сад ""Алтын балалар""","ул. Айбасова, 49","87017406283, 87273834374",детский сад,sadik.altynbalalar@mail.ru
Детский сад «Гусельки»,"ул. Степана Разина, 94","87079614471, 87273854286",детский сад,guselki09@mail.ru
"Детский сад ""Вдохновение""","ул. Земнухова, 76","87472212438, 87078374021",детский сад,022889168@bk.ru
Детский сад «Страна Детства»,"ул. Волочаевская, 357","87770077227, 87272955756",детский сад,tctk@mail.ru
"Детский сад ""КҮН ШУАҚ""","ул. Дунентаева, 6/4","87016017606, 87016017606",детский сад,kun-shuak@mail.ru
"Мини-центр ""Еркетай и Дана""","ул. Стахановская, 50","87052020720, 87272234486",дошкольный мини-центр,zhanna.kibekova74@mail.ru
"Детский сад ""Энтузиаст 2""","мкр. Жас Канат, 580","87762956876, 87762956876",детский сад,laura_8_4@mail.ru
"Детский сад ""Сказка леса""","ул. Глазунова, 44А","87017994675, 87272944438",детский сад,sadik.lesnayaskazka@mail.ru
Детский сад «Маленькие звездочки»,"мкр. Жулдыз-2, 26 Б","87052100571, 87052100571",детский сад,littlestars@bk.ru
"Мини-центр ""А.А.Grand""","ул. Чкалова, 35","87751591071, 87272431759",дошкольный мини-центр,makhmudova.suzanna@mail.ru
"Детский сад ""АЗИМКА""","ул. Дегдара, 36/1","87071288851, 87071288851",детский сад,indigo2101@mail.ru
"Мини-центр ""D&D Menin Kunim""","ул. Бехтерева, 1а","87024653773, 87272232074",детский сад,gulbahram.z@mail.ru
"Детский сад ""Балапан City""","мкр. Жас Канат, 186/1","87078303404, 87771691996",детский сад,akdyrmayeva@qmail.com
"Мини-центр ""Е2С принт""","мкр. Жас Канат, 68","87472681425, 87759512752",дошкольный мини-центр,aida_aida23@mail.ru
"Детский сад ""Тимошка""","ул. Толегена Тажибаева, 26а","87052282887, 82722510835",детский сад,kulimhan_1959@mail.ru
"Мини-центр ""Happy Baby""","ул. Cвободная, 20/87","87776154415, 87776154415",дошкольный мини-центр,Olesyasyprunova@gmail.com
"Детский сад ""Жансая-Сәт""","ул. Зимняя, 18Б","87018241933, 87272519755",детский сад,rifkat_uvaliev@mail.ru
"Ясли-сад ""ALMAS ADAM""","ул. Рудаки, 95","87002045050, 87273824855",ясли-сад,sadik.almasadam@mail.ru
"Мини-центр ""АЛМАРКС-А""","мкр. Алтай 1, 25/2","87475994167, 87000888081",дошкольный мини-центр,detsad_almarks@mail.ru
"Мини-центр ""ЕРКЕМ-АЙ ГОЛД""","ул. Ижевская, 33","87762807555, 87762807555",детский сад,edb_07@mail.ru
Детский сад «Карусель»,"ул. Стахановская, 19","87012233635, 87012233635",детский сад,renelina@mail.ru
"Детский сад ""Зерде""","ул. Стасова, 34","87023831991, 87073511656",детский сад,toozerde@mail.ru
"Детский сад ""Куанар""","ул. Топчиева, 31В","87017605916, 87272278107",детский сад,tookuanar@mail.ru
"Детский сад ""Карусель"" 2","ул. Толстого, 5 В","87012233635, 87272214111",детский сад,renelina@mail.ru
"Детский сад ""Биржан К""","ул. Зимняя, 2","87759933766, 87272514858",детский сад,detsad_birzhan@mail.ru
"Детский сад ""Адель&F""","пр. Суюнбая, 661","87014849990, 87273828953",детский сад,adeltoo@mail.ru
"Детский сад ""Bakutalemi""","ул. Каракалпакская, 12","87083577148, 87083577148",детский сад,bakutalemi62@mail.ru
"Детский сад ""Кокетай""","ул. Дунентаева, 8/1","87473793485, 87272519975",детский сад,asemsemen@mail.ru
"Детский сад «АкЕрке""","ул. Белбулак, 20","87476204543, 87276204543",детский сад,gulnara.boranbae@mail.ru
"Детский сад ""Балдаурен""","ул. Ижевская, 33","87018260760, 87018260760",детский сад,sal2502@mail.ru
