name,address,phone,type,email,lat,lon,method,score,confidence,match_method,money
"мини-центр ""ТИМАЗ""","ул. Декабристов, 32","87017131817, 87273981061",дошкольный мини-центр,sunny.madina27@mail.ru,43.3185789,76.9480542,nominatim,,medium,,yes
"мини-центр ""Baldyrgan shak""","ул. Нурсая, 10","87073190872, 87073190872",дошкольный мини-центр,taugul_93@mail.ru,43.352536,76.9483325,nominatim,,medium,,yes
"Детский центр ""Казына""","мкр. Жас канат, 212/5","87019919601, 87009000730",детский сад,kazyna212@mail.ru,43.3282251,76.9840578,,,low,clean_retry,yes
Детский сад «Апельсин»,"ул. Карагандинская, 30","87772647339, 87772214387",детский сад,grafiv@gmail.com,43.2502265,76.8994194,fuzzy,0.7777777777777778,low,,yes
"Детский сад ""ZauSam Commerce""","ул. Энгельса, 14","87071288851, 87272230104",детский сад,elvira_tokaeva@mail.ru,43.35503,76.9563541,nominatim,,medium,,yes
"Детский сад ""Алтын бала & K""","ул. Чехова, 37","87074267142, 87074267142",детский сад,guzelka_2790@mail.ru,43.3308355,76.9414489,nominatim,,medium,,yes
"Детский сад ""ABVGDESHKA""","ул. Домбровского, 1","87074700705, 87472854439",детский сад,abvgdeshka.kz@mail.ru,43.3529148,76.9934519,nominatim,,medium,,yes
"мини-центр ""Аистёнок""","ул. Елгина, 44","87017663867, 87272955881",дошкольный мини-центр,aistenok.kz@gmail.com,43.29603,76.9667655,nominatim,,medium,,yes
"Мини-центр ""Небесная радуга -1""","ул. Карельская, 72","87776154415, 87776154415",дошкольный мини-центр,Olesyasyprunova@gmail.com,43.3467927,76.9561834,nominatim,,medium,,yes
"Детский сад ""Аиша""","ул. Саялы, 14","87473002512, 87272514252",детский сад,akhat54@mail.ru,43.3041279,76.9750227,nominatim_dedup,0.875,high,,yes
"Детский сад ""Мимишка""","ул. Димитрова, 10","87757526846, 87272570137",детский сад,mimishka_18@mail.ru,43.3266747,76.9664963,nominatim_dedup,0.7428571428571429,low,,yes
"Детский Сад ""Родничок 6""","ул. Торгын, 11","87753196247, 87272450379",детский сад,fatya_hishanlo@mail.ru,43.302759,76.991099,nominatim,,medium,,yes
"Детский сад при ЧУО ""Гимназия имени Марзии Турлыхановой""","пр. Сейфуллина, 68А","87073045588, 87272232509",детский сад,mektep.bolazhak@mail.ru,43.3199119,76.9411282,,,low,clean_retry,yes
"Мини-центр ""Лучик солнца""","ул. Майское утро, 28а","87052339904, 87052339904",дошкольный мини-центр,nursaule-tohtarbaeva@mail.ru,43.3221329,76.955936,nominatim,,medium,,yes
"Детский сад ""АР ДА Компани""","ул. Карагандинская, 9","87018236628, 87018236628",детский сад,arda.kompani@mail.ru,43.226523,76.8920327,fuzzy,0.72,low,,yes
"Детский сад ""Голубой парус""","ул. Гете, 396А","87073673899, 87272233904",детский сад,goluboiparus@mail.ru,43.3415515,76.9786338,nominatim,,medium,,yes
"Детский сад ""Амина 2018""","ул. Бартольда, 52","87026675861, 87272786233",детский сад,zina_7676@bk.ru,43.3576453,76.9345717,fuzzy,0.75,low,,yes
"Детский сад ""Радость детства""","ул. Майлина, 166","87772380044, 87272512244",детский сад,ildana1504@mail.ru,43.3386094,76.9843255,nominatim,,medium,,yes
"Мини-центр ""Табыс Ж.С.""","ул. Ладожская, 31","87472433703, 87272906091",дошкольный мини-центр,bulat_19-94@mail.ru,43.3560116,76.9602864,nominatim,,medium,,yes
"Детский сад ""Алтын балалар""","ул. Айбасова, 49","87017406283, 87273834374",детский сад,sadik.altynbalalar@mail.ru,43.315668,76.9345385,nominatim,,medium,,yes
Детский сад «Гусельки»,"ул. Степана Разина, 94","87079614471, 87273854286",детский сад,guselki09@mail.ru,43.3260082,76.9420841,nominatim_dedup,0.7777777777777778,low,,yes
"Детский сад ""Вдохновение""","ул. Земнухова, 76","87472212438, 87078374021",детский сад,022889168@bk.ru,43.3474481,76.9523964,nominatim,,medium,,yes
Детский сад «Страна Детства»,"ул. Волочаевская, 357","87770077227, 87272955756",детский сад,tctk@mail.ru,43.2879784,76.971172,nominatim,,medium,,yes
"Детский сад ""КҮН ШУАҚ""","ул. Дунентаева, 6/4","87016017606, 87016017606",детский сад,kun-shuak@mail.ru,43.356042,76.994477,yandex_dedup,0.7428571428571429,low,,yes
"Мини-центр ""Еркетай и Дана""","ул. Стахановская, 50","87052020720, 87272234486",дошкольный мини-центр,zhanna.kibekova74@mail.ru,43.3209937,76.9472935,nominatim,,medium,,yes
"Детский сад ""Энтузиаст 2""","мкр. Жас Канат, 580","87762956876, 87762956876",детский сад,laura_8_4@mail.ru,43.3237467,76.9804863,,,low,clean_retry,yes
"Детский сад ""Сказка леса""","ул. Глазунова, 44А","87017994675, 87272944438",детский сад,sadik.lesnayaskazka@mail.ru,43.3004931,76.9437919,nominatim,,medium,,yes
Детский сад «Маленькие звездочки»,"мкр. Жулдыз-2, 26 Б","87052100571, 87052100571",детский сад,littlestars@bk.ru,43.3596803,76.9932012,,,low,clean_retry,yes
"Мини-центр ""А.А.Grand""","ул. Чкалова, 35","87751591071, 87272431759",дошкольный мини-центр,makhmudova.suzanna@mail.ru,43.3252568,76.9501121,nominatim,,medium,,yes
"Детский сад ""АЗИМКА""","ул. Дегдара, 36/1","87071288851, 87071288851",детский сад,indigo2101@mail.ru,43.39682,76.986213,,0.8235294117647058,high,,yes
"Мини-центр ""D&D Menin Kunim""","ул. Бехтерева, 1а","87024653773, 87272232074",детский сад,gulbahram.z@mail.ru,43.32375,76.9421738,nominatim,,medium,,yes
"Детский сад ""Балапан City""","мкр. Жас Канат, 186/1","87078303404, 87771691996",детский сад,akdyrmayeva@qmail.com,43.3198766,76.9775712,,,low,clean_retry,yes
"Мини-центр ""Е2С принт""","мкр. Жас Канат, 68","87472681425, 87759512752",дошкольный мини-центр,aida_aida23@mail.ru,43.3183723,76.9754738,,,low,clean_retry,yes
"Детский сад ""Тимошка""","ул. Толегена Тажибаева, 26а","87052282887, 82722510835",детский сад,kulimhan_1959@mail.ru,43.3278642,76.9699553,nominatim_dedup,0.7428571428571429,low,,yes
