population,RAYON,NOTE,geometry
318.0,Алмалинский,пр.Райымбека - ул.Потемкина - ул.Бекетова - р.большая Алматинка,POINT (76.86658119465439 43.25615092486168)
210.0,Алатауский,пр.Райымбека- ул.Нурпеисова- ул.Емцова,POINT (76.86330446913395 43.2575268138951)
671.0,Алмалинский,ул.Бекетова - ул.Грановского - ул.Дуйсенова - р.большая Алматинка,POINT (76.86586231456666 43.25318970169553)
1072.0,Алатауский,ул.Емцова- пр.Райымбека- ул.Нурпеисова- ул.Кисловодская- ул.Левского,POINT (76.86033186118168 43.25549961373491)
820.0,Медеуский,пр.Назарбаева- ул.Макатаева- ул.Кунаева- пр.Жибек жолы,POINT (76.94735930689473 43.26320028340695)
1462.0,Ауэзовский,мкр.4,POINT (76.85933376010969 43.226782495472975)
2765.0,Ауэзовский,мкр.5,POINT (76.86204446982089 43.22957186971015)
1811.0,Ауэзовский,мкр.2,POINT (76.85658516950052 43.23390130251815)
822.0,Ауэзовский,мкр.12,POINT (76.86598341548708 43.22144192653789)
2058.0,Ауэзовский,мкр.7,POINT (76.86144964003662 43.22475678323744)
1692.0,Ауэзовский,мкр.10А,POINT (76.86071101441674 43.21706071197214)
1482.0,Ауэзовский,мкр.6,POINT (76.85527880090966 43.21779225334742)
5664.0,Ауэзовский,мкр.Аксай-1,POINT (76.83342855694917 43.24235883016992)
4902.0,Ауэзовский,мкр.Аксай-1А,POINT (76.82595772137256 43.24061376259991)
1628.0,Ауэзовский,мкр.Аксай-3А,POINT (76.82608965134345 43.23717719368976)
2910.0,Бостандыкский,бульвар Бухар Жырау- р.Есентай-  ул.Тимирязева- бульвар МусреповаА,POINT (76.92112627054662 43.22889627892882)
1404.0,Бостандыкский,ул.Сатпаева- р.Есентай-мкр.Коктем-3- ул.Байзакова,POINT (76.91736046962366 43.23519975463514)
2918.0,Ауэзовский,мкр.Мамыр- 1,POINT (76.84477846221378 43.2130037313259)
2076.0,Ауэзовский,мкр.Мамыр- 2,POINT (76.85068345388638 43.21241802113294)
2503.0,Ауэзовский,мкр.Мамыр- 3,POINT (76.85409141680894 43.213578517684624)
638.0,Ауэзовский,мкр.Мамыр- 4,POINT (76.84935791315031 43.21705728610975)
1965.0,Ауэзовский,мкр. Мамыр- 7,POINT (76.84088569445643 43.21143836430914)
3375.0,Бостандыкский,ул.Торайгырова- ул.НАВОИ-мкр.ОРБИТА-1- ул.Мустафина,POINT (76.88262029506609 43.20211883717087)
3215.0,Бостандыкский,ул.БИРЖАНА- ул.НАВОИ-мкр.ОРБИТА-2- ул.Мустафина,POINT (76.88407558897352 43.19805645910534)
5521.0,Бостандыкский,ул.Торайгырова- мкр.ОРБИТА-3- ул.БИРЖАНА- ул.САИНА,POINT (76.8729789023722 43.19931834089284)
1821.0,Бостандыкский,ул.БИРЖАНА- мкр.ОРБИТА-4- ул.САИНА,POINT (76.87621232012395 43.19648153840399)
281.0,Ауэзовский,мкр.Шабыт,POINT (76.8483150657648 43.20324939381572)
1418.0,Ауэзовский,мкр.Сайран,POINT (76.86240795695923 43.23854593918252)
2445.0,Ауэзовский,мкр.Сайран,POINT (76.86610980777354 43.235346173523716)
2467.0,Ауэзовский,мкр.1,POINT (76.85146207947004 43.23257080708629)
2930.0,Ауэзовский,мкр.1,POINT (76.84751469396404 43.22873301769967)
1079.0,Медеуский,ул.Кунаева- ул.Макатаева- ул.Пушкина-пр.Жибек жолы,POINT (76.95077012780096 43.263397428544685)
1276.0,Ауэзовский,мкр.Жетысу- 1,POINT (76.83932248327774 43.22126530312963)
1263.0,Алмалинский,ул.Толе би - ул.Тлендиева - ул.Карасай батыра - р.Большая Алматинка,POINT (76.86827153456449 43.24699695805446)
3314.0,Ауэзовский,мкр.Жетысу- 3,POINT (76.84257922128464 43.22110563023379)
1669.0,Ауэзовский,мкр.Тастак- 1- ул.Вилюйская - ул.Фурката - ул.Сурикова,POINT (76.86162305847382 43.251020836855226)
3545.0,Ауэзовский,ул.Кабдолова - ул.Саина - ул.Жубанова - пр.Алтынсарина,POINT (76.84617070240475 43.23803980448048)
3698.0,Ауэзовский,мкр.1,POINT (76.8460533459451 43.23147752175853)
1691.0,Ауэзовский,мкр.10,POINT (76.8666341413808 43.21741201179487)
183.0,Ауэзовский,мкр.Атамекен,POINT (76.84602213214669 43.20558829530624)
261.0,Ауэзовский,мкр.Астана,POINT (76.85265156145762 43.21112177967796)
